Season,Match,Y/M/D,Pool,Week,City,Country,Team,VS_Team,Service points won,Receiver points won,SET,VS_SET,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,DIG_Digs,DIG_Errors,DIG_Total,SET_Point,SET_Errors,SET_Attempts,SET_Total
2024,7,45504,A,Preliminary,Paris,France,Serbia,USA,-,-,2,3,17,20,25,25,15,25,25,20,14,17,2,16,12,1,3,0,12,10,7,29,1,5,1,7,3,1,15,19,12,1,9,22,7,5,12,12,0,14,26
2024,7,45504,A,Preliminary,Paris,France,Serbia,USA,-,-,2,3,17,20,25,25,15,25,25,20,14,17,3,21,15,5,1,0,15,6,17,38,5,7,7,19,1,1,23,25,13,0,7,20,16,5,21,10,0,26,36
2024,7,45504,A,Preliminary,Paris,France,Serbia,USA,-,-,2,3,17,20,25,25,15,25,25,20,14,17,4,21,16,3,2,0,16,4,12,32,3,5,9,17,2,3,19,24,6,0,8,14,15,2,18,13,0,16,29
2024,7,45504,A,Preliminary,Paris,France,Serbia,USA,-,-,2,3,17,20,25,25,15,25,25,20,14,17,5,12,10,2,0,0,10,4,8,22,2,1,7,10,0,1,15,16,7,1,3,11,5,4,12,2,0,16,18
2024,8,45504,B,Preliminary,Paris,France,Poland,Kenya,-,-,3,0,25,25,25,-,-,14,17,15,-,-,ALL,56,44,6,6,0,44,4,27,75,6,15,10,31,6,5,62,73,24,3,17,44,31,16,55,30,0,43,73
2024,8,45504,B,Preliminary,Paris,France,Poland,Kenya,-,-,3,0,25,25,25,-,-,14,17,15,-,-,1,17,12,3,2,0,12,1,6,19,3,4,3,10,2,2,20,24,10,0,5,15,6,6,12,10,0,10,20
2024,8,45504,B,Preliminary,Paris,France,Poland,Kenya,-,-,3,0,25,25,25,-,-,14,17,15,-,-,2,21,14,3,4,0,14,1,10,25,3,7,3,13,4,2,19,25,7,1,7,15,9,5,19,10,0,13,23
2024,8,45504,B,Preliminary,Paris,France,Poland,Kenya,-,-,3,0,25,25,25,-,-,14,17,15,-,-,3,18,18,0,0,0,18,2,11,31,0,4,4,8,0,1,23,24,7,2,5,14,16,5,24,10,0,20,30
2024,8,45504,B,Preliminary,Paris,France,Kenya,Poland,-,-,0,3,14,17,15,-,-,25,25,25,-,-,ALL,37,33,1,3,0,33,22,33,88,1,11,19,31,3,3,42,48,21,6,39,66,19,28,56,9,0,70,79
2024,8,45504,B,Preliminary,Paris,France,Kenya,Poland,-,-,0,3,14,17,15,-,-,25,25,25,-,-,1,10,10,0,0,0,10,11,7,28,0,2,2,4,0,0,15,15,7,2,12,21,2,9,14,3,0,20,23
